constituency,state,vote_share_norm,seats_won_norm,attendance_rate,bills_score,manifesto_fulfillment,criminal_cases_norm,disclosure_compliance,party,electoral_strength_score,gov_performance_score,transparency_score,party_score
Aizawl,Mizoram,0.964964964964965,0.8888888888888888,0.3233233233233233,0.7597597597597597,0.7687687687687688,0.07507507507507508,0.12712712712712712,Party D,0.9345345345345346,0.5433433433433433,0.6058058058058058,0.7154354354354354
Champhai,Mizoram,0.38738738738738737,0.4394394394394394,0.7467467467467468,0.18218218218218218,0.19119119119119118,0.4984984984984985,0.5505505505505506,Party C,0.4082082082082082,0.46626626626626627,0.5211211211211211,0.45675675675675675
Kolasib,Mizoram,0.08508508508508508,0.3123123123123123,0.6196196196196196,0.6716716716716716,0.8898898898898899,0.32432432432432434,0.42342342342342343,Party D,0.17597597597597597,0.6892892892892892,0.5747747747747748,0.4553353353353353
Lawngtlai,Mizoram,0.2832832832832833,0.2072072072072072,0.6426426426426426,0.950950950950951,0.95995995995996,0.3943943943943944,0.8308308308308309,Party C,0.25285285285285286,0.7985985985985986,0.6956956956956957,0.5545745745745745
Lunglei,Mizoram,0.6676676676676677,0.2782782782782783,0.41041041041041043,0.6376376376376376,0.8558558558558559,0.2902902902902903,0.3893893893893894,Party C,0.5119119119119119,0.5676676676676677,0.5815815815815816,0.5488438438438439
Mamit,Mizoram,0.01001001001001001,0.23723723723723725,0.5445445445445446,0.5965965965965966,0.6056056056056056,0.12112112112112113,0.3483483483483483,Party D,0.10090090090090091,0.5723723723723724,0.6666666666666665,0.40735735735735734
Saiha,Mizoram,0.4994994994994995,0.11011011011011011,0.24224224224224225,0.4694694694694695,0.6876876876876877,0.6106106106106106,0.22122122122122123,Party D,0.3437437437437437,0.39949949949949953,0.3221221221221221,0.35785285285285284
Serchhip,Mizoram,0.0970970970970971,0.5335335335335335,0.8408408408408409,0.8928928928928929,0.9019019019019019,0.2082082082082082,0.6446446446446447,Party C,0.27167167167167167,0.8686686686686688,0.7329329329329329,0.595935935935936
Khawzawl,Mizoram,0.7767767767767768,0.2122122122122122,0.13513513513513514,0.5715715715715716,0.5805805805805806,0.8878878878878879,0.3233233233233233,Party A,0.5509509509509509,0.35515515515515517,0.19659659659659662,0.3938338338338338
Hnahthial,Mizoram,0.6986986986986987,0.4134134134134134,0.23223223223223224,0.15615615615615616,0.5025025025025025,0.42542542542542544,0.036036036036036036,Party B,0.5845845845845846,0.2634634634634635,0.35915915915915914,0.4158358358358359
Thiruvallur,Tamil Nadu,0.914914914914915,0.9669669669669669,0.2732732732732733,0.7097097097097097,0.7187187187187187,0.025025025025025027,0.07707707707707707,Party B,0.9357357357357358,0.4932932932932933,0.6158158158158158,0.700900900900901
Chennai,Tamil Nadu,0.6236236236236237,0.5475475475475475,0.982982982982983,0.4184184184184184,0.42742742742742745,0.7347347347347347,0.17017017017017017,Party C,0.5931931931931932,0.7025025025025026,0.2272272272272272,0.53995995995996
Krishnagiri,Tamil Nadu,0.7667667667667668,0.6906906906906907,0.12512512512512514,0.04904904904904905,0.44244244244244246,0.8778778778778779,0.92992992992993,Party C,0.7363363363363363,0.1657657657657658,0.4452452452452453,0.4638638638638639
Tiruvannamalai,Tamil Nadu,0.7397397397397397,0.04704704704704705,0.4824824824824825,0.5815815815815816,0.5435435435435435,0.8508508508508509,0.2862862862862863,Party B,0.46266266266266265,0.5244244244244245,0.20400400400400398,0.4196146146146147
Dharmapuri,Tamil Nadu,0.24724724724724725,0.2992992992992993,0.6066066066066066,0.042042042042042045,0.05105105105105105,0.35835835835835833,0.41041041041041043,Party D,0.26806806806806804,0.3261261261261261,0.5491491491491491,0.35865865865865865
Salem,Tamil Nadu,0.5135135135135135,0.7407407407407407,0.5595595595595596,0.48348348348348347,0.3173173173173173,0.13613613613613615,0.8518518518518519,Party D,0.6044044044044043,0.48828828828828835,0.8590590590590591,0.6274274274274274
Erode,Tamil Nadu,0.43843843843843844,0.36236236236236236,0.7977977977977978,0.10510510510510511,0.24224224224224225,0.5495495495495496,0.6016016016016016,Party A,0.40800800800800796,0.4788788788788789,0.5109109109109109,0.45853853853853854
Nilgiris,Tamil Nadu,0.38738738738738737,0.8238238238238238,0.25825825825825827,0.35735735735735735,0.19119119119119118,0.01001001001001001,0.934934934934935,Party D,0.5619619619619619,0.27457457457457457,0.967967967967968,0.5628778778778778
Namakkal,Tamil Nadu,0.15615615615615616,0.2082082082082082,0.5155155155155156,0.9519519519519519,0.960960960960961,0.2672672672672673,0.31931931931931934,Party B,0.17697697697697698,0.7355355355355355,0.5673673673673674,0.47007007007007007
Perambalur,Tamil Nadu,0.41041041041041043,0.4624624624624625,0.7697697697697697,0.20520520520520522,0.21421421421421422,0.5215215215215215,0.5735735735735735,Party B,0.43123123123123125,0.4892892892892893,0.5165165165165165,0.47287287287287283
Coimbatore,Tamil Nadu,0.43743743743743746,0.04804804804804805,0.18018018018018017,0.4074074074074074,0.6256256256256256,0.5485485485485485,0.15915915915915915,Party B,0.2816816816816817,0.3374374374374374,0.3345345345345345,0.3144094094094094
Tiruchirappalli,Tamil Nadu,0.8988988988988988,0.950950950950951,0.25725725725725723,0.6936936936936937,0.7027027027027027,0.13713713713713713,0.06106106106106106,Party C,0.9197197197197198,0.4772772772772773,0.5421421421421421,0.6704704704704706
Ariyalur,Tamil Nadu,0.8648648648648649,0.09109109109109109,0.3983983983983984,0.8348348348348348,0.8438438438438438,0.4874874874874875,0.2022022022022022,Party B,0.5553553553553554,0.6184184184184185,0.3883883883883884,0.5356856856856858
Tiruppur,Tamil Nadu,0.06806806806806807,0.5045045045045045,0.93993993993994,0.8638638638638638,0.8728728728728729,0.6916916916916916,0.6156156156156156,Party D,0.24264264264264263,0.9037037037037037,0.43123123123123125,0.5211611611611612
Thanjavur,Tamil Nadu,0.16516516516516516,0.2172172172172172,0.036036036036036036,0.960960960960961,0.96996996996997,0.4044044044044044,0.3283283283283283,Party C,0.18598598598598598,0.5003003003003003,0.48868868868868864,0.3716716716716716
Karur,Tamil Nadu,0.3793793793793794,0.4314314314314314,0.7387387387387387,0.17417417417417416,0.1831831831831832,0.4904904904904905,0.5425425425425425,Party D,0.4002002002002002,0.4582582582582583,0.5227227227227227,0.4511511511511512
Thiruvarur,Tamil Nadu,0.9209209209209209,0.972972972972973,0.4074074074074074,0.5065065065065065,0.7247247247247247,0.15915915915915915,0.08308308308308308,Party B,0.9417417417417417,0.5006006006006006,0.5377377377377377,0.6863413413413413
Dindigul,Tamil Nadu,0.8268268268268268,0.26226226226226224,0.5695695695695696,0.6216216216216216,0.014014014014014014,0.9379379379379379,0.3733733733733734,Party C,0.601001001001001,0.4740740740740741,0.18658658658658664,0.45297297297297295
Madurai,Tamil Nadu,0.995995995995996,0.6066066066066066,0.7387387387387387,0.965965965965966,0.1831831831831832,0.6186186186186187,0.7177177177177178,Party A,0.8402402402402402,0.6957957957957958,0.5159159159159159,0.7086036036036036
Theni,Tamil Nadu,0.2092092092092092,0.6456456456456456,0.08008008008008008,0.004004004004004004,0.013013013013013013,0.8328328328328328,0.7567567567567568,Party C,0.38378378378378375,0.04384384384384384,0.403003003003003,0.2696096096096096
Virudhunagar,Tamil Nadu,0.41041041041041043,0.5095095095095095,0.944944944944945,0.8688688688688688,0.8778778778778779,0.5215215215215215,0.7487487487487487,Party C,0.45005005005005005,0.9087087087087087,0.5865865865865866,0.6447147147147148
Thoothukkudi,Tamil Nadu,0.5815815815815816,0.6806806806806807,0.9409409409409409,0.03903903903903904,0.38538538538538536,0.6926926926926927,0.91991991991992,Party D,0.6212212212212213,0.5592592592592592,0.5523523523523524,0.5823173173173173
